Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,2 558,3 508,258,360,248,0,0,30,-489,0,-533,6 471,5 939,6 471
1:00,2 604,3 557,262,360,231,0,0,31,-331,-304,-540,6 410,5 869,6 410
2:00,2 616,3 558,263,357,223,0,0,30,224,-1 014,-541,6 258,5 717,6 258
3:00,2 637,3 534,265,358,213,0,0,39,173,-1 043,-540,6 176,5 636,6 176
4:00,2 652,3 507,266,359,233,0,6,52,172,-1 033,-539,6 215,5 676,6 215
5:00,2 659,3 451,259,358,239,0,18,54,98,-729,-533,6 406,5 873,6 406
6:00,2 657,3 608,554,376,285,58,107,47,-273,-32,-558,7 387,6 829,7 387
7:00,2 649,3 662,1 062,398,613,423,298,39,-1 108,0,-583,8 036,7 453,8 036
8:00,2 649,3 747,1 091,407,795,404,594,37,-1 257,0,-596,8 468,7 872,8 468
9:00,2 645,3 921,1 069,402,759,19,882,32,-959,0,-609,8 772,8 163,8 772
10:00,2 647,3 876,1 041,367,547,0,1 112,47,-842,0,-602,8 795,8 194,8 795
11:00,2 671,3 892,1 036,360,491,0,1 267,68,-916,0,-605,8 870,8 265,8 870
12:00,2 670,3 904,1 008,358,453,49,1 331,62,-802,0,-607,9 032,8 426,9 032
13:00,2 660,3 861,1 023,360,391,107,1 312,63,-768,0,-602,9 010,8 408,9 010
14:00,2 653,3 835,1 022,351,381,136,1 213,67,-824,0,-598,8 834,8 236,8 834
15:00,2 685,3 825,1 018,353,413,96,1 025,57,-679,0,-597,8 792,8 195,8 792
16:00,2 707,3 864,1 015,358,381,274,786,60,-773,0,-603,8 672,8 069,8 672
17:00,2 698,3 945,780,364,387,89,507,64,-273,0,-602,8 562,7 960,8 562
18:00,2 700,3 932,995,381,382,450,264,44,-858,0,-609,8 291,7 682,8 291
19:00,2 705,3 931,1 003,396,381,454,94,48,-829,0,-609,8 184,7 575,8 184
20:00,2 712,3 908,1 020,393,380,454,22,76,-994,0,-607,7 970,7 364,7 970
21:00,2 725,3 796,1 054,372,342,77,11,88,-707,0,-591,7 758,7 167,7 758
22:00,2 731,3 717,1 036,349,334,0,0,121,-865,0,-580,7 422,6 842,7 422
23:00,2 738,3 722,1 046,353,349,0,0,81,-1 307,0,-581,6 981,6 400,6 981
Hodina,JE,PE,PPE,PSE,VE,PVE,FVE,VTE,Přeshraniční saldo,Čerpání PVE,TVSe,Zatížení brutto,Zatížení (bez TVSe),Spotřeba brutto
"",[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MWh]
0:00,4 118,3 829,252,369,179,0,0,60,-1 500,-737,-652,6 571,5 919,6 571
1:00,4 123,3 813,247,370,171,0,0,93,-1 478,-818,-651,6 521,5 870,6 521
2:00,4 126,3 791,246,369,145,0,0,113,-1 570,-835,-650,6 386,5 736,6 386
3:00,4 125,3 790,246,367,144,0,0,122,-1 652,-829,-649,6 315,5 665,6 315
4:00,4 125,3 833,249,369,183,0,0,143,-1 652,-822,-654,6 428,5 774,6 428
5:00,4 128,3 896,250,369,145,0,4,150,-1 307,-795,-661,6 840,6 179,6 840
6:00,4 123,4 107,268,399,265,64,8,149,-1 540,-23,-685,7 820,7 135,7 820
7:00,4 116,4 253,273,424,548,171,40,138,-1 554,0,-705,8 410,7 705,8 410
8:00,4 115,4 358,286,430,524,331,98,132,-1 485,0,-718,8 789,8 071,8 789
9:00,4 111,4 333,276,456,368,448,172,136,-1 251,0,-718,9 049,8 331,9 049
10:00,4 106,4 251,252,399,291,362,273,133,-996,0,-704,9 070,8 366,9 070
11:00,4 107,4 041,246,372,278,163,413,150,-597,0,-680,9 174,8 494,9 174
12:00,4 107,4 134,246,374,264,41,477,149,-593,-2,-688,9 198,8 510,9 198
13:00,4 103,4 164,269,406,247,69,452,151,-784,0,-694,9 076,8 382,9 076
14:00,4 101,4 007,267,427,190,91,401,158,-833,0,-679,8 810,8 131,8 810
15:00,4 111,3 960,253,404,228,76,297,154,-709,0,-672,8 775,8 102,8 775
16:00,4 116,3 971,240,381,192,0,184,152,-532,0,-670,8 704,8 034,8 704
17:00,4 114,4 025,252,392,274,30,101,143,-657,0,-676,8 675,7 999,8 675
18:00,4 115,4 030,269,410,354,322,61,150,-1 224,0,-683,8 488,7 805,8 488
19:00,4 116,4 071,283,431,345,698,13,168,-1 587,0,-693,8 538,7 845,8 538
20:00,4 116,4 030,282,459,359,698,4,184,-1 748,0,-691,8 383,7 692,8 383
21:00,4 122,3 969,237,402,301,225,0,185,-1 590,0,-674,7 851,7 177,7 851
22:00,4 125,4 008,214,363,286,94,0,181,-1 872,-1,-673,7 399,6 726,7 399
23:00,4 122,4 067,234,362,277,0,0,158,-1 922,-314,-677,6 985,6 308,6 985
